Size: 256
Style: stroke-linecap="round" stroke-width="1.6" stroke="#ffffff"
Path: m0,0 h0
1.75,2.50
7.11,1.60
12.62,3.23
18.79,3.60
22.53,2.19
27.15,3.39
33.99,1.06
36.56,0.66
44.95,0.94
46.70,4.46
52.00,3.46
57.08,1.06
64.01,1.13
68.02,1.95
74.14,1.26
77.45,1.81
81.03,3.28
87.60,2.54
91.54,2.59
97.86,3.68
103.91,2.30
109.38,3.13
113.51,3.28
120.01,1.61
123.31,3.36
128.97,3.35
134.23,1.48
138.51,1.87
144.31,2.97
146.71,1.30
153.05,3.39
157.33,2.70
162.41,3.53
168.80,3.30
174.12,2.43
179.16,3.32
183.02,1.36
189.20,1.42
194.79,4.76
196.72,1.75
202.69,3.48
209.00,3.49
213.05,2.00
217.40,1.18
223.27,4.13
228.15,2.48
233.28,0.96
239.69,2.16
243.60,0.97
249.20,0.98
254.41,2.64
4.06,7.80
7.39,7.72
10.95,7.39
18.07,9.46
21.50,7.79
28.98,8.23
33.00,6.17
38.35,9.05
43.34,7.46
48.36,8.85
51.61,8.01
56.68,6.33
61.54,7.13
67.40,5.87
71.94,6.02
79.34,7.64
83.17,6.26
87.34,7.57
91.96,7.53
98.36,7.10
102.32,8.39
109.02,8.62
113.56,8.25
117.71,8.58
124.22,9.20
127.38,8.60
134.41,7.38
137.52,8.27
141.93,8.11
149.50,8.97
151.90,6.92
159.93,6.32
162.93,9.57
169.61,8.19
173.08,6.07
179.47,8.70
181.86,6.79
188.74,8.13
191.45,6.39
199.64,9.14
202.09,8.51
207.35,7.06
213.67,8.60
218.39,7.42
224.32,8.62
228.36,6.58
234.66,6.67
239.71,7.46
242.61,8.02
246.77,7.25
254.97,9.00
0.43,13.91
5.64,14.35
12.32,13.92
18.22,13.44
21.78,13.08
26.83,10.66
34.49,13.15
36.07,10.67
43.78,13.72
46.18,11.40
52.78,14.23
58.01,11.96
64.12,12.99
68.23,10.56
72.11,13.51
77.52,12.40
85.12,14.83
86.15,10.86
93.24,11.49
97.33,10.74
104.09,13.10
109.80,11.07
112.03,14.69
118.21,12.05
122.04,12.21
127.78,14.45
131.94,11.29
138.87,11.94
143.35,14.09
149.54,12.65
